order_id,order_date,customer_id,customer_name,product,category,quantity,unit_price,region,city,payment_method,order_status
ORD0001,2026-02-05,CUST014,Aditya Joshi,Printer,Electronics,3,12897.84,North,Delhi,Cash,Completed
ORD0002,2026-03-01,CUST065,Kavya Nair,Laptop,Electronics,1,58747.81,Central,Indore,UPI,Pending
ORD0003,2026-04-25,CUST076,Vikram Patel,Backpack,Accessories,5,2794.18,South,Chennai,UPI,Completed
ORD0004,2026-03-28,CUST014,Priya Verma,Keyboard,Accessories,2,1302.88,West,Pune,Net Banking,Completed
ORD0005,2026-04-28,CUST069,Priya Verma,Desk,Furniture,3,18914.05,East,Bhubaneswar,Net Banking,Completed
ORD0006,2026-04-03,CUST074,Ananya Gupta,Backpack,Accessories,5,4564.72,Central,Indore,UPI,Completed
ORD0007,2026-04-08,CUST036,Sneha Iyer,Monitor,Electronics,2,27329.67,South,Bengaluru,Debit Card,Completed
ORD0008,2026-06-24,CUST010,Kavya Nair,Tablet,Electronics,3,39563.71,East,Bhubaneswar,Credit Card,Pending
ORD0009,2026-06-13,CUST072,Ananya Gupta,Webcam,Accessories,4,2984.71,South,Hyderabad,Debit Card,Completed
ORD0010,2026-02-24,CUST073,Pooja Shah,Mouse,Accessories,4,881.93,South,Hyderabad,Debit Card,Completed
ORD0011,2026-02-05,CUST032,Pooja Shah,Backpack,Accessories,4,1742.91,West,Pune,Cash,Pending
ORD0012,2026-04-13,CUST047,Ananya Gupta,Desk,Furniture,4,20365.17,East,Patna,Credit Card,Pending
ORD0013,2026-02-10,CUST055,Kavya Nair,Laptop,Electronics,1,61113.65,West,Mumbai,UPI,Completed
ORD0014,2026-05-22,CUST002,Aditya Joshi,Webcam,Accessories,5,2882.78,West,Ahmedabad,UPI,Cancelled
ORD0015,2026-04-22,CUST021,Sneha Iyer,Backpack,Accessories,3,1623.9,Central,Indore,UPI,Cancelled
ORD0016,2026-06-10,CUST039,Aditya Joshi,Smartphone,Electronics,5,70019.79,East,Patna,Cash,Pending
ORD0017,2026-05-16,CUST001,Kavya Nair,Mouse,Accessories,2,1370.88,South,Hyderabad,Debit Card,Completed
ORD0018,2026-03-03,CUST073,Priya Verma,Mouse,Accessories,3,831.01,North,Delhi,UPI,Cancelled
ORD0019,2026-05-02,CUST071,Rahul Singh,Office Chair,Furniture,2,9311.05,West,Mumbai,Debit Card,Pending
ORD0020,2026-06-26,CUST026,Pooja Shah,Tablet,Electronics,5,41434.28,Central,Indore,Debit Card,Completed
ORD0021,2026-02-27,CUST009,Neha Reddy,Office Chair,Furniture,4,9178.08,East,Bhubaneswar,UPI,Pending
ORD0022,2026-06-11,CUST008,Ananya Gupta,Desk,Furniture,2,6115.05,Central,Bhopal,UPI,Completed
ORD0023,2026-05-05,CUST028,Rohan Kumar,Office Chair,Furniture,2,12012.59,East,Kolkata,Credit Card,Cancelled
ORD0024,2026-04-15,CUST025,Priya Verma,Webcam,Accessories,2,5815.41,Central,Nagpur,UPI,Cancelled
ORD0025,2026-01-14,CUST013,Aarav Sharma,Headphones,Accessories,4,4842.79,West,Pune,Net Banking,Cancelled
ORD0026,2026-04-25,CUST018,Arjun Mehta,Tablet,Electronics,2,21657.31,East,Kolkata,Credit Card,Completed
ORD0027,2026-05-21,CUST013,Aarav Sharma,Monitor,Electronics,4,26160.44,West,Mumbai,Cash,Completed
ORD0028,2026-02-24,CUST052,Aarav Sharma,Smartphone,Electronics,4,45681.54,North,Delhi,Credit Card,Completed
ORD0029,2026-06-28,CUST072,Aditya Joshi,Keyboard,Accessories,4,1498.7,North,Jaipur,Net Banking,Completed
ORD0030,2026-05-19,CUST008,Pooja Shah,Tablet,Electronics,1,35271.31,South,Bengaluru,Debit Card,Completed
ORD0031,2026-05-16,CUST021,Aarav Sharma,Webcam,Accessories,5,6556.63,North,Chandigarh,Cash,Completed
ORD0032,2026-03-02,CUST052,Priya Verma,Desk,Furniture,1,16803.4,South,Hyderabad,Cash,Completed
ORD0033,2026-06-18,CUST075,Kavya Nair,Laptop,Electronics,5,58279.34,Central,Nagpur,Cash,Completed
ORD0034,2026-04-12,CUST017,Aditya Joshi,Backpack,Accessories,3,2107.01,East,Kolkata,Debit Card,Completed
ORD0035,2026-05-25,CUST013,Priya Verma,Laptop,Electronics,4,79846.37,East,Kolkata,Cash,Completed
ORD0036,2026-03-04,CUST048,Vikram Patel,Smartphone,Electronics,3,68209.26,Central,Indore,Credit Card,Completed
ORD0037,2026-06-17,CUST068,Aarav Sharma,Keyboard,Accessories,5,3454.79,Central,Nagpur,Cash,Completed
ORD0038,2026-05-22,CUST020,Vikram Patel,Keyboard,Accessories,1,3191.2,North,Delhi,Debit Card,Pending
